HuggingFaceID,Architecture,System,Backend,Version,Mode,Status,ErrMsg,Command,Source
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.10,agg,FRAMEWORK_INCOMPATIBLE,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 908, in _attempt\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 797, in _run_mode\n    pareto_df = task.run()\n                ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1519, in run\n    self.validate()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1176, in validate\n    self._validate_database_quant_modes()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1225, in _validate_database_quant_modes\n    self._check_role_against_db(""agg"", validate_context=True, validate_generation=True)\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1318, in _check_role_against_db\n    _check(""gemm"", self._role_attr(role, ""gemm_quant_mode""))\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1311, in _check\n    raise exc_type(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='sglang', version='0.5.10'. Supported gemm modes: ['bfloat16', 'fp8', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.10,disagg,FRAMEWORK_INCOMPATIBLE,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 908, in _attempt\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 797, in _run_mode\n    pareto_df = task.run()\n                ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1519, in run\n    self.validate()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1176, in validate\n    self._validate_database_quant_modes()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1227, in _validate_database_quant_modes\n    self._check_role_against_db(""prefill"", validate_context=True, validate_generation=False)\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1318, in _check_role_against_db\n    _check(""gemm"", self._role_attr(role, ""gemm_quant_mode""))\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1311, in _check\n    raise exc_type(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='sglang', version='0.5.10'. Supported gemm modes: ['bfloat16', 'fp8', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend sglang --backend-version 0.5.10 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.12,agg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 908, in _attempt\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 797, in _run_mode\n    pareto_df = task.run()\n                ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1519, in run\n    self.validate()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1176, in validate\n    self._validate_database_quant_modes()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1225, in _validate_database_quant_modes\n    self._check_role_against_db(""agg"", validate_context=True, validate_generation=True)\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1318, in _check_role_against_db\n    _check(""gemm"", self._role_attr(role, ""gemm_quant_mode""))\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1311, in _check\n    raise exc_type(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='sglang', version='0.5.12'. Supported gemm modes: ['bfloat16', 'fp8', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend sglang --backend-version 0.5.12 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.12,disagg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 908, in _attempt\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 797, in _run_mode\n    pareto_df = task.run()\n                ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1519, in run\n    self.validate()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1176, in validate\n    self._validate_database_quant_modes()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1227, in _validate_database_quant_modes\n    self._check_role_against_db(""prefill"", validate_context=True, validate_generation=False)\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1318, in _check_role_against_db\n    _check(""gemm"", self._role_attr(role, ""gemm_quant_mode""))\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1311, in _check\n    raise exc_type(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='sglang', version='0.5.12'. Supported gemm modes: ['bfloat16', 'fp8', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend sglang --backend-version 0.5.12 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.14,agg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 908, in _attempt\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 797, in _run_mode\n    pareto_df = task.run()\n                ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1519, in run\n    self.validate()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1176, in validate\n    self._validate_database_quant_modes()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1225, in _validate_database_quant_modes\n    self._check_role_against_db(""agg"", validate_context=True, validate_generation=True)\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1318, in _check_role_against_db\n    _check(""gemm"", self._role_attr(role, ""gemm_quant_mode""))\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1311, in _check\n    raise exc_type(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='sglang', version='0.5.14'. Supported gemm modes: ['bfloat16', 'fp8', 'fp8_static', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend sglang --backend-version 0.5.14 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,sglang,0.5.14,disagg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 908, in _attempt\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 797, in _run_mode\n    pareto_df = task.run()\n                ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1519, in run\n    self.validate()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1176, in validate\n    self._validate_database_quant_modes()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1227, in _validate_database_quant_modes\n    self._check_role_against_db(""prefill"", validate_context=True, validate_generation=False)\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1318, in _check_role_against_db\n    _check(""gemm"", self._role_attr(role, ""gemm_quant_mode""))\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1311, in _check\n    raise exc_type(\nValueError: Unsupported gemm quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='sglang', version='0.5.14'. Supported gemm modes: ['bfloat16', 'fp8', 'fp8_static', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend sglang --backend-version 0.5.14 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,trtllm,1.3.0rc10,agg,HYBRID_PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend trtllm --backend-version 1.3.0rc10 --database-mode HYBRID --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,xquant
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,trtllm,1.3.0rc10,disagg,HYBRID_PASS,,uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend trtllm --backend-version 1.3.0rc10 --database-mode HYBRID --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,xquant
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,trtllm,1.3.0rc15,agg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 908, in _attempt\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 797, in _run_mode\n    pareto_df = task.run()\n                ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1519, in run\n    self.validate()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1176, in validate\n    self._validate_database_quant_modes()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1225, in _validate_database_quant_modes\n    self._check_role_against_db(""agg"", validate_context=True, validate_generation=True)\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1330, in _check_role_against_db\n    _check(""moe"", moe_mode, profile_transfer=True)\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1311, in _check\n    raise exc_type(\nValueError: Unsupported moe quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='trtllm', version='1.3.0rc15'. Supported moe modes: ['bfloat16', 'fp8', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend trtllm --backend-version 1.3.0rc15 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,
MiniMaxAI/MiniMax-M2.5,MiniMaxM2ForCausalLM,rtx_pro_6000_server,trtllm,1.3.0rc15,disagg,FAIL,"Traceback (most recent call last):\n  File ""tools/support_matrix/support_matrix.py"", line 908, in _attempt\n    python_pareto_df = SupportMatrix._run_mode(\n                       ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""tools/support_matrix/support_matrix.py"", line 797, in _run_mode\n    pareto_df = task.run()\n                ^^^^^^^^^^\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1519, in run\n    self.validate()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1176, in validate\n    self._validate_database_quant_modes()\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1227, in _validate_database_quant_modes\n    self._check_role_against_db(""prefill"", validate_context=True, validate_generation=False)\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1330, in _check_role_against_db\n    _check(""moe"", moe_mode, profile_transfer=True)\n  File ""src/aiconfigurator/sdk/task_v2.py"", line 1311, in _check\n    raise exc_type(\nValueError: Unsupported moe quant mode 'fp8_block' for system='rtx_pro_6000_server', backend='trtllm', version='1.3.0rc15'. Supported moe modes: ['bfloat16', 'fp8', 'nvfp4']\n",uv run aiconfigurator cli default --model-path MiniMaxAI/MiniMax-M2.5 --total-gpus 128 --system rtx_pro_6000_server --backend trtllm --backend-version 1.3.0rc15 --database-mode SILICON --isl 256 --osl 256 --prefix 128 --ttft 2000000.0 --tpot 50000.0 --top-n 1 --no-color,
